time,accel
2.4000001,0
2.5999999,-1.3
3.2,-2.7
3.5999999,0
4,-2.7
6.1999998,-2.7
6.5999999,-2.7
6.8000002,-1.3
7.8000002,-2.7
8.1999998,-2.7
8.8000002,-1.3
8.8000002,-2.7
9.6000004,-2.7
10,-2.7
10.2,-5.4000001
10.6,-2.7
11,-5.4000001
11.4,0
13.2,-2.7
13.6,-2.7
13.8,0
14.6,-13.3
14.6,-5.4000001
14.6,-5.4000001
14.6,-9.3000002
14.6,-16
14.6,-22.799999
14.8,-2.7
15.4,-22.799999
15.4,-32.099998
15.4,-53.5
15.4,-54.900002
15.6,-40.200001
15.6,-21.5
15.8,-21.5
15.8,-50.799999
16,-42.900002
16,-26.799999
16.200001,-21.5
16.200001,-50.799999
16.200001,-61.700001
16.4,-5.4000001
16.4,-80.400002
16.6,-59
16.799999,-71
16.799999,-91.099998
16.799999,-77.699997
17.6,-37.5
17.6,-85.599998
17.6,-123.1
17.6,-101.9
17.799999,-99.099998
17.799999,-104.4
18.6,-112.5
18.6,-50.799999
19.200001,-123.1
19.4,-85.599998
19.4,-72.300003
19.6,-127.2
20.200001,-123.1
20.4,-117.9
21.200001,-134
21.4,-101.9
21.799999,-108.4
22,-123.1
23.200001,-123.1
23.4,-128.5
24,-112.5
24.200001,-95.099998
24.200001,-81.800003
24.6,-53.5
25,-64.400002
25,-57.599998
25.4,-72.300003
25.4,-44.299999
25.6,-26.799999
26,-5.4000001
26.200001,-107.1
26.200001,-21.5
26.4,-65.599998
27,-16
27.200001,-45.599998
27.200001,-24.200001
27.200001,9.5
27.6,4
28.200001,12
28.4,-21.5
28.4,37.5
28.6,46.900002
29.4,-17.4
30.200001,36.200001
31,75
31.200001,8.1000004
32,54.900002
32,48.200001
32.799999,46.900002
33.400002,16
33.799999,45.599998
34.400002,1.3
34.799999,75
35.200001,-16
35.200001,-54.900002
35.400002,69.599998
35.599998,34.799999
35.599998,32.099998
36.200001,-37.5
36.200001,22.799999
38,46.900002
38,10.7
39.200001,5.4000001
39.400002,-1.3
40,-21.5
40.400002,-13.3
41.599998,30.799999
41.599998,-10.7
42.400002,29.4
42.799999,0
42.799999,-10.7
43,14.7
44,-1.3
44.400002,0
45,10.7
46.599998,10.7
47.799999,-26.799999
47.799999,-14.7
48.799999,-13.3
50.599998,0
52,10.7
53.200001,-14.7
55,-2.7
55,10.7
55.400002,-2.7
57.599998,10.7
